contract_id,counterparty_id,contract_type,status,effective_date,term_months,auto_renew,renewal_notice_days,annual_value_usd,liability_cap_multiple,risk_score
NW-K-00028,NW-CP-0082,NDA,executed,2024-11-04,24,True,30,60000,1.0,42
NW-K-00029,NW-CP-0046,Vendor Terms,in_negotiation,2024-01-29,12,False,30,24000,1.0,89
NW-K-00030,NW-CP-0082,NDA,in_negotiation,2025-06-12,24,False,30,120000,2.0,28
NW-K-00031,NW-CP-0014,Reseller,executed,2025-07-11,24,False,90,250000,3.0,88
NW-K-00032,NW-CP-0113,NDA,draft,2026-07-18,12,False,30,24000,3.0,80
NW-K-00033,NW-CP-0061,SOW,executed,2024-05-09,36,False,90,24000,1.0,66
NW-K-00034,NW-CP-0117,Reseller,draft,2025-05-02,36,True,60,1200000,2.0,6
NW-K-00035,NW-CP-0090,Vendor Terms,executed,2026-01-14,12,False,90,120000,0.0,71
NW-K-00036,NW-CP-0088,Vendor Terms,executed,2025-06-04,12,True,90,1200000,3.0,24
NW-K-00037,NW-CP-0107,SOW,expired,2026-03-11,12,True,30,480000,3.0,68
NW-K-00038,NW-CP-0111,NDA,draft,2025-09-04,24,True,60,24000,0.0,33
NW-K-00039,NW-CP-0070,Vendor Terms,in_negotiation,2024-08-01,12,True,90,250000,1.0,68
NW-K-00040,NW-CP-0057,DPA,draft,2025-09-13,12,True,60,24000,0.0,75
NW-K-00041,NW-CP-0000,MSA,executed,2026-03-21,24,False,90,60000,3.0,48
NW-K-00042,NW-CP-0046,MSA,executed,2025-07-08,24,False,90,480000,3.0,89
NW-K-00043,NW-CP-0046,Vendor Terms,executed,2023-12-31,12,True,60,1200000,2.0,75
NW-K-00044,NW-CP-0066,DPA,executed,2023-10-12,12,True,90,1200000,3.0,18
NW-K-00045,NW-CP-0032,SOW,in_negotiation,2024-02-05,36,True,30,1200000,2.0,18
NW-K-00046,NW-CP-0096,Reseller,draft,2026-04-12,12,False,60,250000,0.0,69
NW-K-00047,NW-CP-0017,Reseller,draft,2023-10-16,36,False,60,480000,1.0,93
NW-K-00048,NW-CP-0074,NDA,executed,2024-02-17,12,True,90,480000,2.0,69
NW-K-00049,NW-CP-0112,Reseller,executed,2026-03-05,12,True,60,120000,3.0,22
NW-K-00050,NW-CP-0017,Reseller,executed,2025-10-06,24,False,90,120000,0.0,85
NW-K-00051,NW-CP-0027,NDA,in_negotiation,2024-10-26,24,False,30,1200000,1.0,69
NW-K-00052,NW-CP-0069,Vendor Terms,executed,2024-01-28,24,False,90,480000,3.0,91
NW-K-00053,NW-CP-0095,SOW,in_negotiation,2025-05-19,12,True,30,250000,1.0,11
NW-K-00054,NW-CP-0085,MSA,in_negotiation,2024-04-08,24,False,30,24000,2.0,31
NW-K-00055,NW-CP-0096,SOW,draft,2025-07-05,12,False,90,1200000,0.0,33
NW-K-00056,NW-CP-0095,Vendor Terms,executed,2024-08-05,24,False,30,250000,3.0,58
NW-K-00057,NW-CP-0100,Vendor Terms,in_negotiation,2025-12-07,12,True,60,60000,0.0,61
NW-K-00058,NW-CP-0106,NDA,expired,2026-07-31,24,False,90,1200000,0.0,30
NW-K-00059,NW-CP-0099,Vendor Terms,expired,2024-11-01,36,True,90,24000,1.0,27
NW-K-00060,NW-CP-0094,SOW,draft,2023-10-04,36,True,60,60000,1.0,79
NW-K-00061,NW-CP-0108,DPA,draft,2025-07-26,12,True,60,480000,1.0,85
NW-K-00062,NW-CP-0078,Vendor Terms,in_negotiation,2026-01-07,24,True,90,120000,0.0,33
NW-K-00063,NW-CP-0023,SOW,draft,2025-09-25,12,True,90,250000,1.0,49
NW-K-00064,NW-CP-0028,NDA,executed,2024-12-28,24,True,90,480000,3.0,76
NW-K-00065,NW-CP-0105,Vendor Terms,draft,2026-06-06,24,True,90,480000,0.0,36
NW-K-00066,NW-CP-0005,Vendor Terms,expired,2025-03-16,12,True,90,1200000,2.0,8
NW-K-00067,NW-CP-0116,SOW,executed,2025-03-06,36,True,60,1200000,1.0,46
NW-K-00068,NW-CP-0065,MSA,expired,2024-04-18,12,False,30,1200000,1.0,92
NW-K-00069,NW-CP-0054,MSA,in_negotiation,2026-07-29,36,False,30,1200000,1.0,8
NW-K-00070,NW-CP-0058,Vendor Terms,in_negotiation,2023-12-16,12,True,60,480000,1.0,78
NW-K-00071,NW-CP-0105,NDA,expired,2025-04-26,36,True,60,250000,2.0,7
NW-K-00072,NW-CP-0049,Vendor Terms,draft,2023-08-11,12,False,90,24000,1.0,50
NW-K-00073,NW-CP-0118,SOW,draft,2026-07-02,24,False,60,250000,3.0,55
NW-K-00074,NW-CP-0105,Vendor Terms,draft,2024-04-01,12,True,60,480000,2.0,86
NW-K-00075,NW-CP-0018,DPA,executed,2026-05-04,24,False,30,480000,0.0,23
NW-K-00076,NW-CP-0015,MSA,draft,2026-02-14,36,True,30,120000,1.0,49
NW-K-00077,NW-CP-0027,Reseller,expired,2025-10-06,12,True,30,480000,2.0,29
NW-K-00078,NW-CP-0014,NDA,executed,2025-12-30,12,False,90,250000,0.0,14
NW-K-00079,NW-CP-0037,Vendor Terms,draft,2024-01-01,12,False,60,120000,2.0,21
NW-K-00080,NW-CP-0085,Vendor Terms,in_negotiation,2024-10-18,12,False,60,250000,3.0,47
NW-K-00081,NW-CP-0078,Vendor Terms,in_negotiation,2026-01-25,12,False,60,120000,3.0,26
NW-K-00082,NW-CP-0000,DPA,in_negotiation,2024-07-11,36,True,60,60000,2.0,66
NW-K-00083,NW-CP-0059,Reseller,in_negotiation,2024-11-18,36,False,30,1200000,0.0,15
NW-K-00084,NW-CP-0107,DPA,expired,2024-03-06,12,True,90,24000,1.0,7
NW-K-00085,NW-CP-0108,SOW,executed,2026-01-22,36,False,30,24000,0.0,38
NW-K-00086,NW-CP-0069,SOW,executed,2024-03-20,24,True,90,1200000,2.0,22
NW-K-00087,NW-CP-0059,SOW,executed,2025-04-09,24,True,90,60000,0.0,92
NW-K-00088,NW-CP-0021,SOW,draft,2024-04-05,12,False,90,1200000,1.0,66
NW-K-00089,NW-CP-0045,MSA,in_negotiation,2025-08-28,12,True,60,60000,1.0,90
NW-K-00090,NW-CP-0026,SOW,expired,2025-02-13,36,True,60,24000,1.0,88
NW-K-00091,NW-CP-0041,MSA,executed,2025-10-20,24,False,60,480000,0.0,77
NW-K-00092,NW-CP-0022,Reseller,executed,2025-02-19,12,True,60,60000,0.0,56
NW-K-00093,NW-CP-0045,DPA,executed,2025-08-20,12,True,30,250000,1.0,34
NW-K-00094,NW-CP-0009,SOW,executed,2024-06-25,12,True,60,480000,1.0,89
NW-K-00095,NW-CP-0029,Reseller,executed,2024-01-25,36,False,60,60000,0.0,25
NW-K-00096,NW-CP-0082,Reseller,draft,2023-10-08,12,False,30,60000,0.0,10
NW-K-00097,NW-CP-0114,SOW,draft,2024-04-16,24,False,90,250000,0.0,77
NW-K-00098,NW-CP-0081,MSA,expired,2026-05-26,24,False,30,250000,0.0,65
NW-K-00099,NW-CP-0111,Reseller,in_negotiation,2025-05-01,12,False,30,480000,0.0,38
NW-K-00100,NW-CP-0021,Vendor Terms,executed,2025-07-06,12,True,60,60000,1.0,7
NW-K-00101,NW-CP-0025,SOW,expired,2025-09-23,36,False,90,24000,1.0,65
NW-K-00102,NW-CP-0115,SOW,executed,2025-11-04,12,True,90,60000,0.0,74
NW-K-00103,NW-CP-0105,MSA,expired,2026-06-21,36,True,60,24000,0.0,59
NW-K-00104,NW-CP-0029,Reseller,executed,2025-03-16,24,False,90,1200000,0.0,17
NW-K-00105,NW-CP-0054,NDA,in_negotiation,2024-07-28,12,True,90,250000,2.0,29
NW-K-00106,NW-CP-0000,Vendor Terms,executed,2023-08-13,12,True,60,1200000,1.0,93
NW-K-00107,NW-CP-0102,DPA,executed,2024-01-14,12,True,90,120000,2.0,73
NW-K-00108,NW-CP-0054,SOW,in_negotiation,2024-10-03,36,False,60,480000,0.0,66
NW-K-00109,NW-CP-0022,DPA,executed,2025-08-22,24,False,90,120000,3.0,22
NW-K-00110,NW-CP-0109,Vendor Terms,draft,2024-07-24,36,False,30,24000,1.0,70
NW-K-00111,NW-CP-0051,DPA,executed,2026-03-13,12,True,90,24000,1.0,23
NW-K-00112,NW-CP-0060,SOW,executed,2023-11-09,24,True,30,480000,1.0,54
NW-K-00113,NW-CP-0119,Reseller,executed,2025-10-19,24,False,90,24000,1.0,86
NW-K-00114,NW-CP-0063,Reseller,draft,2026-05-18,24,True,90,480000,0.0,94
NW-K-00115,NW-CP-0029,SOW,in_negotiation,2023-09-27,24,True,30,60000,1.0,40
NW-K-00116,NW-CP-0099,Reseller,in_negotiation,2025-04-07,36,False,90,24000,1.0,16
NW-K-00117,NW-CP-0070,DPA,executed,2025-12-17,24,True,60,60000,0.0,29
NW-K-00118,NW-CP-0058,Reseller,executed,2024-09-10,12,True,30,480000,1.0,69
NW-K-00119,NW-CP-0037,DPA,expired,2025-10-07,24,False,90,120000,3.0,53
NW-K-00120,NW-CP-0072,Reseller,executed,2025-01-11,36,False,90,24000,3.0,19
NW-K-00121,NW-CP-0033,MSA,in_negotiation,2024-07-09,12,False,60,120000,0.0,73
NW-K-00122,NW-CP-0001,Vendor Terms,executed,2024-08-22,24,True,90,1200000,2.0,14
NW-K-00123,NW-CP-0070,NDA,executed,2025-02-01,12,False,60,60000,1.0,68
NW-K-00124,NW-CP-0094,NDA,in_negotiation,2024-08-12,24,True,30,60000,0.0,50
NW-K-00125,NW-CP-0019,MSA,draft,2023-12-02,36,False,90,24000,3.0,52
NW-K-00126,NW-CP-0079,DPA,executed,2026-01-10,24,True,90,120000,3.0,33
NW-K-00127,NW-CP-0096,SOW,draft,2025-10-27,36,True,90,24000,0.0,49
NW-K-00128,NW-CP-0050,Vendor Terms,executed,2025-07-12,12,False,60,120000,1.0,6
NW-K-00129,NW-CP-0086,NDA,in_negotiation,2024-01-05,24,True,60,60000,0.0,38
NW-K-00130,NW-CP-0030,DPA,executed,2026-03-11,24,True,60,250000,1.0,58
NW-K-00131,NW-CP-0089,DPA,in_negotiation,2025-04-15,24,True,90,60000,0.0,92
NW-K-00132,NW-CP-0029,MSA,executed,2024-08-02,36,False,30,60000,1.0,65
NW-K-00133,NW-CP-0103,MSA,in_negotiation,2025-09-16,12,False,90,480000,0.0,45
NW-K-00134,NW-CP-0100,Reseller,in_negotiation,2025-12-22,12,True,90,60000,1.0,32
NW-K-00135,NW-CP-0104,DPA,executed,2026-04-06,12,True,60,120000,2.0,51
NW-K-00136,NW-CP-0071,SOW,expired,2024-09-05,24,True,30,120000,0.0,30
NW-K-00137,NW-CP-0073,SOW,executed,2025-11-15,12,False,60,120000,2.0,91
NW-K-00138,NW-CP-0065,Reseller,executed,2025-06-26,12,True,60,250000,1.0,26
NW-K-00139,NW-CP-0081,DPA,executed,2026-03-10,36,False,30,24000,1.0,48
NW-K-00140,NW-CP-0029,DPA,in_negotiation,2024-10-27,24,False,60,120000,3.0,51
NW-K-00141,NW-CP-0095,SOW,executed,2025-07-01,36,True,30,60000,1.0,89
NW-K-00142,NW-CP-0032,Vendor Terms,executed,2023-12-04,12,True,30,24000,1.0,65
NW-K-00143,NW-CP-0070,MSA,draft,2025-04-10,12,True,90,60000,1.0,88
NW-K-00144,NW-CP-0119,Reseller,in_negotiation,2024-08-20,24,True,30,60000,0.0,26
NW-K-00145,NW-CP-0003,MSA,executed,2024-12-19,36,True,90,120000,0.0,61
NW-K-00146,NW-CP-0017,Vendor Terms,executed,2026-02-05,36,False,90,480000,3.0,72
NW-K-00147,NW-CP-0081,Vendor Terms,executed,2025-01-22,36,True,30,250000,2.0,51
NW-K-00148,NW-CP-0052,DPA,in_negotiation,2023-08-18,12,True,30,120000,2.0,65
NW-K-00149,NW-CP-0068,MSA,executed,2025-09-04,36,True,60,120000,0.0,34
NW-K-00150,NW-CP-0101,MSA,executed,2024-05-21,36,False,60,250000,1.0,25
NW-K-00151,NW-CP-0091,Vendor Terms,executed,2025-03-12,12,True,60,1200000,1.0,71
NW-K-00152,NW-CP-0097,SOW,executed,2026-06-30,24,True,90,480000,2.0,57
NW-K-00153,NW-CP-0024,MSA,in_negotiation,2024-10-25,12,False,90,250000,2.0,94
NW-K-00154,NW-CP-0079,Reseller,in_negotiation,2023-09-01,12,True,90,24000,1.0,18
NW-K-00155,NW-CP-0036,DPA,draft,2025-06-13,12,True,30,24000,3.0,32
NW-K-00156,NW-CP-0043,Reseller,in_negotiation,2025-09-14,24,True,30,120000,1.0,23
NW-K-00157,NW-CP-0007,DPA,executed,2023-11-21,36,True,60,250000,1.0,20
NW-K-00158,NW-CP-0098,Vendor Terms,in_negotiation,2025-06-20,12,False,30,60000,3.0,17
NW-K-00159,NW-CP-0066,Vendor Terms,expired,2025-08-05,36,False,60,120000,1.0,85
NW-K-00160,NW-CP-0093,MSA,executed,2025-12-03,12,True,90,120000,1.0,51
NW-K-00161,NW-CP-0113,MSA,expired,2024-07-05,12,True,60,120000,1.0,26
NW-K-00162,NW-CP-0101,DPA,executed,2025-04-08,12,True,30,480000,3.0,93
NW-K-00163,NW-CP-0076,NDA,in_negotiation,2023-12-19,12,True,30,1200000,0.0,48
NW-K-00164,NW-CP-0119,Vendor Terms,draft,2025-02-04,12,False,30,60000,3.0,34
NW-K-00165,NW-CP-0040,SOW,executed,2025-01-22,36,False,30,1200000,3.0,50
NW-K-00166,NW-CP-0092,NDA,in_negotiation,2023-10-02,36,False,90,120000,0.0,94
NW-K-00167,NW-CP-0062,NDA,executed,2025-11-23,24,True,60,120000,0.0,75
NW-K-00168,NW-CP-0020,MSA,executed,2025-06-30,24,False,90,120000,3.0,5
NW-K-00169,NW-CP-0099,Vendor Terms,executed,2024-05-16,12,False,60,480000,1.0,46
NW-K-00170,NW-CP-0092,MSA,executed,2025-11-16,36,True,90,250000,0.0,24
NW-K-00171,NW-CP-0078,DPA,in_negotiation,2026-04-23,24,True,90,1200000,1.0,10
NW-K-00172,NW-CP-0106,NDA,in_negotiation,2023-09-19,12,True,30,24000,1.0,78
NW-K-00173,NW-CP-0082,Reseller,executed,2025-10-27,24,True,30,480000,1.0,6
NW-K-00174,NW-CP-0119,NDA,executed,2023-12-04,36,False,30,120000,0.0,58
NW-K-00175,NW-CP-0105,DPA,executed,2023-10-31,24,True,90,24000,2.0,14
NW-K-00176,NW-CP-0027,SOW,draft,2024-07-26,36,True,90,1200000,1.0,77
NW-K-00177,NW-CP-0080,NDA,executed,2025-12-16,36,False,90,480000,2.0,91
NW-K-00178,NW-CP-0058,Vendor Terms,executed,2024-01-11,12,False,90,250000,0.0,48
NW-K-00179,NW-CP-0084,NDA,executed,2026-02-19,36,False,60,480000,2.0,52
NW-K-00180,NW-CP-0052,Vendor Terms,executed,2024-12-16,12,False,30,250000,0.0,37
NW-K-00181,NW-CP-0046,Reseller,executed,2025-04-10,12,False,60,480000,1.0,71
NW-K-00182,NW-CP-0017,DPA,draft,2024-07-12,12,False,30,1200000,2.0,75
NW-K-00183,NW-CP-0065,SOW,executed,2026-01-06,12,True,60,120000,1.0,22
NW-K-00184,NW-CP-0033,DPA,expired,2024-08-24,12,True,60,24000,0.0,56
NW-K-00185,NW-CP-0072,NDA,executed,2024-12-18,36,True,90,1200000,0.0,17
NW-K-00186,NW-CP-0076,Vendor Terms,in_negotiation,2026-01-13,36,True,30,120000,2.0,60
NW-K-00187,NW-CP-0053,MSA,expired,2024-07-19,12,False,90,250000,1.0,44
NW-K-00188,NW-CP-0067,MSA,in_negotiation,2025-12-26,12,True,90,60000,1.0,11
NW-K-00189,NW-CP-0086,Vendor Terms,expired,2025-06-24,12,True,60,250000,1.0,21
NW-K-00190,NW-CP-0043,MSA,executed,2023-10-17,36,True,60,480000,3.0,94
NW-K-00191,NW-CP-0016,NDA,executed,2024-06-05,36,True,90,60000,0.0,83
NW-K-00192,NW-CP-0094,SOW,in_negotiation,2023-11-21,24,False,60,1200000,0.0,16
NW-K-00193,NW-CP-0014,Vendor Terms,executed,2025-02-19,24,True,60,480000,1.0,44
NW-K-00194,NW-CP-0021,DPA,executed,2025-06-19,12,True,30,60000,2.0,24
NW-K-00195,NW-CP-0096,Vendor Terms,expired,2024-01-23,12,True,90,60000,2.0,6
NW-K-00196,NW-CP-0043,Vendor Terms,executed,2024-11-18,36,True,60,60000,0.0,32
NW-K-00197,NW-CP-0026,SOW,executed,2024-09-07,36,False,30,1200000,1.0,53
NW-K-00198,NW-CP-0074,Vendor Terms,executed,2024-09-02,12,True,30,1200000,0.0,39
NW-K-00199,NW-CP-0006,Reseller,executed,2023-08-15,12,True,60,1200000,2.0,18
NW-K-00200,NW-CP-0002,DPA,expired,2026-05-07,36,True,60,480000,1.0,45
NW-K-00201,NW-CP-0062,SOW,executed,2024-05-17,12,True,60,480000,1.0,10
NW-K-00202,NW-CP-0031,SOW,in_negotiation,2025-09-01,36,False,30,120000,2.0,50
NW-K-00203,NW-CP-0080,DPA,in_negotiation,2025-09-19,24,False,90,120000,3.0,8
NW-K-00204,NW-CP-0071,DPA,in_negotiation,2025-01-14,36,False,30,1200000,3.0,71
NW-K-00205,NW-CP-0086,SOW,expired,2026-07-03,12,True,90,60000,3.0,44
NW-K-00206,NW-CP-0116,SOW,in_negotiation,2025-11-21,12,True,30,480000,0.0,92
NW-K-00207,NW-CP-0102,NDA,expired,2024-11-24,12,True,30,1200000,0.0,25
NW-K-00208,NW-CP-0040,MSA,executed,2024-02-02,12,True,30,1200000,1.0,45
NW-K-00209,NW-CP-0112,Reseller,expired,2024-11-15,36,False,90,1200000,2.0,24
NW-K-00210,NW-CP-0099,NDA,draft,2024-05-15,12,False,90,480000,2.0,82
NW-K-00211,NW-CP-0072,SOW,in_negotiation,2024-07-28,12,False,60,24000,3.0,22
NW-K-00212,NW-CP-0064,SOW,executed,2026-05-07,24,True,60,250000,3.0,22
NW-K-00213,NW-CP-0020,NDA,in_negotiation,2025-04-28,12,False,60,60000,1.0,31
NW-K-00214,NW-CP-0008,NDA,expired,2025-06-14,36,False,60,60000,3.0,56
NW-K-00215,NW-CP-0099,MSA,executed,2025-03-15,24,True,90,480000,0.0,73
NW-K-00216,NW-CP-0067,Vendor Terms,expired,2023-10-01,12,True,30,60000,0.0,73
NW-K-00217,NW-CP-0050,Vendor Terms,draft,2025-03-26,12,True,60,250000,2.0,41
NW-K-00218,NW-CP-0059,NDA,executed,2026-03-11,12,False,30,250000,3.0,16
NW-K-00219,NW-CP-0092,SOW,draft,2026-01-27,12,True,60,250000,1.0,27
NW-K-00220,NW-CP-0058,SOW,expired,2024-06-11,36,True,60,1200000,1.0,20
NW-K-00221,NW-CP-0011,MSA,executed,2026-04-13,24,True,90,250000,0.0,83
NW-K-00222,NW-CP-0020,Reseller,executed,2023-10-09,12,False,90,1200000,1.0,25
NW-K-00223,NW-CP-0111,NDA,in_negotiation,2023-10-21,36,True,90,250000,2.0,85
NW-K-00224,NW-CP-0023,MSA,expired,2024-06-12,12,False,60,24000,3.0,68
NW-K-00225,NW-CP-0109,Reseller,executed,2023-08-11,36,True,90,1200000,3.0,63
NW-K-00226,NW-CP-0052,Reseller,draft,2026-02-19,12,True,90,120000,0.0,85
NW-K-00227,NW-CP-0071,NDA,draft,2024-03-19,12,False,30,60000,1.0,90
NW-K-00228,NW-CP-0073,SOW,in_negotiation,2023-12-16,12,True,30,60000,2.0,83
NW-K-00229,NW-CP-0084,Vendor Terms,executed,2026-01-07,12,False,90,480000,2.0,9
NW-K-00230,NW-CP-0011,DPA,in_negotiation,2025-03-13,12,False,90,24000,2.0,65
NW-K-00231,NW-CP-0017,MSA,executed,2024-10-01,24,True,90,60000,1.0,83
NW-K-00232,NW-CP-0007,MSA,executed,2026-04-05,12,True,90,480000,2.0,59
NW-K-00233,NW-CP-0077,DPA,in_negotiation,2026-01-11,24,False,90,480000,3.0,71
NW-K-00234,NW-CP-0093,Vendor Terms,executed,2024-05-07,12,False,30,24000,1.0,8
NW-K-00235,NW-CP-0059,Vendor Terms,executed,2024-06-19,36,True,60,120000,0.0,86
NW-K-00236,NW-CP-0027,MSA,executed,2026-07-09,24,True,30,120000,2.0,69
NW-K-00237,NW-CP-0070,DPA,executed,2024-01-26,24,True,90,480000,0.0,8
NW-K-00238,NW-CP-0106,NDA,in_negotiation,2025-01-08,36,False,30,1200000,1.0,66
NW-K-00239,NW-CP-0019,Vendor Terms,executed,2025-11-13,24,True,60,1200000,1.0,71
NW-K-00240,NW-CP-0038,SOW,executed,2024-12-04,12,True,90,120000,2.0,13
NW-K-00241,NW-CP-0019,DPA,executed,2025-01-10,36,False,30,480000,0.0,54
NW-K-00242,NW-CP-0023,SOW,draft,2024-11-23,24,False,60,250000,1.0,68
NW-K-00243,NW-CP-0112,NDA,in_negotiation,2024-11-14,12,True,30,24000,2.0,9
NW-K-00244,NW-CP-0099,NDA,expired,2025-06-21,12,False,90,60000,1.0,48
NW-K-00245,NW-CP-0118,Reseller,executed,2025-10-23,24,False,30,24000,0.0,91
NW-K-00246,NW-CP-0016,NDA,executed,2025-07-15,36,False,90,24000,1.0,44
NW-K-00247,NW-CP-0119,MSA,executed,2026-02-10,12,True,30,24000,0.0,89
NW-K-00248,NW-CP-0095,DPA,draft,2024-11-29,12,True,30,120000,2.0,73
NW-K-00249,NW-CP-0040,Reseller,executed,2024-09-28,12,True,30,24000,0.0,76
NW-K-00250,NW-CP-0065,MSA,in_negotiation,2025-01-27,24,True,90,120000,0.0,36
NW-K-00251,NW-CP-0021,MSA,in_negotiation,2025-01-09,36,True,30,250000,1.0,18
NW-K-00252,NW-CP-0049,MSA,draft,2025-04-02,12,False,90,1200000,3.0,83
NW-K-00253,NW-CP-0045,DPA,in_negotiation,2024-06-05,12,False,60,480000,1.0,16
NW-K-00254,NW-CP-0104,Vendor Terms,executed,2025-07-10,24,False,90,250000,3.0,34
NW-K-00255,NW-CP-0028,NDA,expired,2026-03-17,24,False,60,60000,2.0,46
NW-K-00256,NW-CP-0058,Reseller,draft,2025-08-09,12,True,60,60000,2.0,49
NW-K-00257,NW-CP-0077,SOW,draft,2024-01-09,36,False,30,120000,0.0,88
NW-K-00258,NW-CP-0009,DPA,executed,2025-04-16,36,True,30,480000,1.0,66
NW-K-00259,NW-CP-0049,MSA,in_negotiation,2026-07-15,36,False,60,480000,2.0,74
