counterparty_id,legal_name,jurisdiction,relationship,negotiation_rounds_to_date,historical_posture
NW-CP-0075,"Morales Partners, Inc.",Karnataka,reseller,0,standard
NW-CP-0076,"Hodges Labs, Inc.",Karnataka,customer,0,accommodating
NW-CP-0077,"Johnson Labs, Inc.",England and Wales,vendor,5,standard
NW-CP-0078,"Miller Partners, Inc.",Singapore,reseller,2,accommodating
NW-CP-0079,"King Systems, Inc.",Delaware,vendor,4,standard
NW-CP-0080,"Wilson Technologies, Inc.",England and Wales,customer,2,accommodating
NW-CP-0081,"Barton Systems, Inc.",Singapore,reseller,5,standard
NW-CP-0082,"Hancock Labs, Inc.",Delaware,customer,1,accommodating
NW-CP-0083,"Bryan Holdings, Inc.",Delaware,vendor,6,accommodating
NW-CP-0084,"Smith Technologies, Inc.",Karnataka,vendor,5,accommodating
NW-CP-0085,"Booth Partners, Inc.",Karnataka,customer,2,aggressive
NW-CP-0086,"Murray Holdings, Inc.",England and Wales,vendor,0,accommodating
NW-CP-0087,"Brown Technologies, Inc.",Singapore,customer,6,accommodating
NW-CP-0088,"Stone Systems, Inc.",England and Wales,reseller,5,accommodating
NW-CP-0089,"Dean Holdings, Inc.",Karnataka,reseller,1,standard
NW-CP-0090,"Jimenez Technologies, Inc.",Karnataka,reseller,5,aggressive
NW-CP-0091,"Ramos Technologies, Inc.",England and Wales,vendor,2,accommodating
NW-CP-0092,"Williams Systems, Inc.",England and Wales,customer,6,standard
NW-CP-0093,"Adams Labs, Inc.",England and Wales,customer,1,accommodating
NW-CP-0094,"Anderson Systems, Inc.",Karnataka,customer,6,standard
NW-CP-0095,"Roberts Partners, Inc.",Singapore,vendor,5,aggressive
NW-CP-0096,"Gilmore Systems, Inc.",Delaware,vendor,4,standard
NW-CP-0097,"Washington Holdings, Inc.",Singapore,reseller,3,aggressive
NW-CP-0098,"Johnson Systems, Inc.",Karnataka,customer,3,accommodating
NW-CP-0099,"Mccoy Partners, Inc.",Delaware,customer,4,standard
NW-CP-0100,"Lloyd Holdings, Inc.",Singapore,vendor,2,standard
NW-CP-0101,"Mckinney Technologies, Inc.",Karnataka,customer,1,accommodating
NW-CP-0102,"Collins Labs, Inc.",Karnataka,customer,3,aggressive
NW-CP-0103,"Smith Holdings, Inc.",England and Wales,customer,5,standard
NW-CP-0104,"Russell Holdings, Inc.",Singapore,customer,2,aggressive
NW-CP-0105,"Walker Holdings, Inc.",Singapore,vendor,6,standard
NW-CP-0106,"Skinner Systems, Inc.",England and Wales,customer,2,aggressive
NW-CP-0107,"Wilson Technologies, Inc.",Singapore,vendor,5,standard
NW-CP-0108,"Valentine Systems, Inc.",England and Wales,vendor,1,aggressive
NW-CP-0109,"Holland Technologies, Inc.",Karnataka,reseller,6,standard
NW-CP-0110,"Moore Systems, Inc.",England and Wales,customer,2,standard
NW-CP-0111,"Cantu Technologies, Inc.",England and Wales,reseller,4,accommodating
NW-CP-0112,"Carter Labs, Inc.",England and Wales,customer,1,accommodating
NW-CP-0113,"Thornton Systems, Inc.",Singapore,reseller,1,accommodating
NW-CP-0114,"Perry Technologies, Inc.",Karnataka,reseller,0,standard
NW-CP-0115,"Olson Labs, Inc.",Singapore,vendor,4,standard
NW-CP-0116,"Kennedy Technologies, Inc.",Singapore,vendor,1,aggressive
NW-CP-0117,"Bryant Holdings, Inc.",Delaware,vendor,0,standard
NW-CP-0118,"Thomas Labs, Inc.",England and Wales,customer,5,accommodating
NW-CP-0119,"Lee Labs, Inc.",Singapore,reseller,3,standard
